,dist_bin,commodty,use_rate_bin,sum_wt,Ur,Ut0,Ut1,pt0,pt1
211,600,"""17""",100,1897.0102,-1.48172344752,0.70031044,1.43639768,0.898624506489,0.948734993547
212,600,"""17""",1000,572.769791667,-14.8172344752,-29.6178956,-22.2570232,3.73382864189e-07,0.000587064442341
213,600,"""17""",25000,18656.992,-370.43086188,-838.10339,-654.08158,7.80551746243e-204,6.48721561105e-124
214,600,"""19""",100,1053.25634156,-1.06666226218,,,,
215,600,"""19""",1000,2173.9695,-10.6666226218,,,,
216,600,"""19""",2000,3325.0,-21.3332452436,,,,
217,600,"""19""",8000,9450.0,-85.3329809743,,,,
218,600,"""19""",25000,43715.5045,-266.665565545,,,,
219,600,"""20""",100,2141.36918084,-1.1947085176,3.54904604,4.15190088,0.99136924056,0.995258313296
220,600,"""20""",1000,3436.0,-11.947085176,-21.2815396,-15.2529912,8.83201084101e-05,0.0353691327386
221,600,"""20""",2000,10545.0,-23.8941703521,-48.8710792,-36.8139824,1.42123636875e-11,2.44903987748e-06
222,600,"""20""",8000,37696.0,-95.5766814083,-214.4083168,-166.1799296,2.46647361436e-52,2.17469775389e-31
223,600,"""22""",100,2847.53221683,-5.5474457654,-14.92622966,-11.39770452,8.44907591352e-05,0.0028708883375
224,600,"""22""",1000,2059.575,-55.474457654,-160.2602966,-124.9750452,3.10519132464e-46,6.55055865478e-31
225,600,"""22""",2000,10869.978,-110.948915308,-321.7425932,-251.1720904,2.84098454666e-92,1.26429617083e-61
226,600,"""22""",8000,26061.9615,-443.795661232,-1290.6363728,-1008.3543616,0.0,6.53539316704e-246
227,600,"""24""",100,2505.28402447,-0.937499357885,-0.90649586,-0.45320092,0.507750253675,0.61876237325
228,600,"""24""",2000,1700.0,-18.7499871577,-40.3219172,-31.2560184,4.27986251839e-10,3.70423074652e-06
229,600,"""24""",8000,24880.0,-74.9999486308,-164.7916688,-128.5280736,1.00913997433e-39,5.66279316556e-24
