,,0,1
"(29.8119769, -95.3741247)","(35.6385545, -99.0001085)",7 hours 47 mins,540.625
"(29.8119769, -95.3741247)","(35.8970899, -98.4225961)",7 hours 29 mins,516.875
"(29.8152236, -94.9177032)","(42.7755645, -88.943999)",17 hours 1 min,1110.0
"(29.8152236, -94.9177032)","(43.0962919, -89.5119565)",17 hours 36 mins,1150.625
"(29.8152236, -94.9177032)","(47.920575, -104.0310439)",1 day 1 hour,1620.0
"(29.8152592, -94.9352559)","(39.4667025, -87.4139119)",14 hours 18 mins,944.375
"(29.8477222, -94.890758)","(38.8428256, -86.9913959)",14 hours 14 mins,945.0
"(29.8477222, -94.890758)","(39.1670396, -86.5342881)",14 hours 49 mins,985.625
"(29.8477222, -94.890758)","(39.4667025, -87.4139119)",14 hours 11 mins,940.0
"(29.8477222, -94.890758)","(42.7755645, -88.943999)",16 hours 55 mins,1106.875
"(29.8510485, -93.9771157)","(35.2257007, -80.3289521)",14 hours 42 mins,1001.875
"(29.8510485, -93.9771157)","(35.291162, -99.6400969)",8 hours 57 mins,605.0
"(29.8988258, -93.9287815)","(39.7683331, -86.1583502)",15 hours 4 mins,1031.25
"(29.8988258, -93.9287815)","(43.0349931, -87.922497)",17 hours 19 mins,1191.25
"(29.9060388, -90.1422962)","(38.8402805, -97.6114237)",13 hours 56 mins,958.75
"(29.9499323, -90.0701156)","(35.3738712, -119.0194639)",1 day 5 hours,1962.5
"(29.9499323, -90.0701156)","(39.00871, -87.7523336)",11 hours 17 mins,763.125
"(29.9499323, -90.0701156)","(42.7755645, -88.943999)",14 hours 30 mins,1008.75
"(29.9499323, -90.0701156)","(43.0349931, -87.922497)",14 hours 44 mins,1022.5
"(29.9499323, -90.0701156)","(43.4704014, -89.7437844)",15 hours 34 mins,1082.5
"(29.9499323, -90.0701156)","(43.7486054, -87.977038)",15 hours 34 mins,1071.875
"(29.9499323, -90.0701156)","(43.8424502, -88.8372972)",15 hours 59 mins,1091.875
"(29.9913244, -93.9585067)","(39.350833, -101.7101722)",14 hours 25 mins,990.0
"(30.0473202, -94.8873913)","(35.131547, -79.4294789)",16 hours 18 mins,1100.0
"(30.0473202, -94.8873913)","(39.1670396, -86.5342881)",14 hours 35 mins,971.25
"(30.0473202, -94.8873913)","(39.4667025, -87.4139119)",13 hours 57 mins,926.25
"(30.0473202, -94.8873913)","(42.7755645, -88.943999)",16 hours 41 mins,1093.125
"(30.0473202, -94.8873913)","(43.0349931, -87.922497)",17 hours 19 mins,1160.625
"(30.0473202, -94.8873913)","(43.074761, -89.3837613)",17 hours 11 mins,1125.0
"(30.0473202, -94.8873913)","(43.4577692, -88.837329)",17 hours 36 mins,1150.0
"(30.0473202, -94.8873913)","(43.4704014, -89.7437844)",17 hours 45 mins,1166.875
"(30.0473202, -94.8873913)","(44.0206919, -88.5408574)",18 hours 24 mins,1192.5
"(30.0474239, -90.6898128)","(39.00871, -87.7523336)",11 hours 11 mins,757.5
"(30.056035, -90.6192554)","(43.0349931, -87.922497)",14 hours 39 mins,1009.375
"(30.056035, -90.6192554)","(43.0709273, -89.4322174)",14 hours 59 mins,1032.5
"(30.056035, -90.6192554)","(43.7291617, -87.8106439)",15 hours 27 mins,1061.875
"(30.0699357, -94.1910161)","(35.131547, -79.4294789)",15 hours 33 mins,1057.5
"(30.0699357, -94.1910161)","(36.3466619, -119.4204921)",1 day 2 hours,1820.625
"(30.0699357, -94.1910161)","(39.4667025, -87.4139119)",13 hours 50 mins,915.625
"(30.0699357, -94.1910161)","(42.7755645, -88.943999)",16 hours 34 mins,1081.875
"(30.0699357, -94.1910161)","(44.0206919, -88.5408574)",18 hours 17 mins,1181.875
"(30.0804845, -90.6243112)","(43.0349931, -87.922497)",14 hours 39 mins,1018.75
"(30.0804845, -90.6243112)","(43.0709273, -89.4322174)",14 hours 59 mins,1041.25
"(30.0804845, -90.6243112)","(43.7291617, -87.8106439)",15 hours 27 mins,1070.625
"(30.0860459, -94.1018461)","(30.820742, -88.0705556)",5 hours 40 mins,393.125
"(30.0860459, -94.1018461)","(36.7295295, -119.7088613)",1 day 3 hours,1858.125
"(30.0860459, -94.1018461)","(39.503235, -98.542957)",12 hours 16 mins,828.125
"(30.0860459, -94.1018461)","(42.6829765, -89.0226793)",16 hours 23 mins,1074.375
